Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
78,2025-07-30 15:44:16,cs3,250.0,5.0,20.0,0.05,True,0.0,[[92.05822349]],0.830749688114743,0.0107396832424289,50,20,0.01,,,,,,1635.034065246582,,,5.0
79,2025-07-30 16:11:31,cs4,,,,,True,1.0,[[79.07454757]],0.9554463151084892,1.8748965208177725e-07,50,20,0.01,,,,,,1.0439069271087646,,,
80,2025-07-30 16:11:45,cs5,250.0,5.0,20.0,0.05,True,0.0,[[13.71119255]],0.7393077427506225,0.0072256672908759,50,20,0.01,1.0,1.0,0.8,,3.0,12.7296040058136,,,
81,2025-07-30 16:12:06,cs1,250.0,5.0,20.0,0.05,True,0.0,[[71.51316958]],0.7393454069937487,0.0072250122541875,50,20,0.05,1.0,1.0,0.8,,3.0,20.925721168518063,50.0,1.0,
82,2025-07-30 16:12:07,cs2,250.0,20.0,,,True,0.92,[[-0.86280683]],0.90670636703953,0.0002093362178393,50,20,0.05,,,,,,1.350192308425903,,,
83,2025-07-30 16:12:14,cs3,250.0,5.0,20.0,0.05,True,0.0,[[41.38144071]],0.7878087551165034,0.0035466637491894,50,20,0.05,,,,,,731.1863460540771,,,5.0
84,2025-07-30 16:24:25,cs4,,,,,True,1.0,[[230.51559538]],0.9543483530749226,1.8749360667457082e-07,50,20,0.05,,,,,,0.8770358562469482,,,
85,2025-07-30 16:24:36,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.5131937]],0.7393077427587326,0.0072256672906024,50,20,0.05,1.0,1.0,0.8,,3.0,10.314218997955322,,,
86,2025-07-30 16:24:55,cs1,250.0,5.0,20.0,0.05,True,0.0,[[143.7657066]],0.7393429987845921,0.0072286403240889,50,20,0.1,1.0,1.0,0.8,,3.0,18.660032987594604,50.0,1.0,
87,2025-07-30 16:24:57,cs2,250.0,20.0,,,True,0.0,[[95.73133837]],0.8299990052612071,6.530563019013195e-11,50,20,0.1,,,,,,7.843760967254639,,,
88,2025-07-30 16:25:10,cs3,250.0,5.0,20.0,0.05,True,0.0,[[708.94372347]],0.8439685411393001,0.0131080324462465,50,20,0.1,,,,,,1601.76629281044,,,5.0
